990641652694908928	#Np	Trombosia	Sun Apr 29 17:19:09 +0000 2018	NA	NA	NA	a m lo que m s me gusta de fajardo es robledo por eso voy a votar por petro para que gane duque y pierda vargas lleras	
990641280198856704	Tuto Santos	SantosTuto	Sun Apr 29 17:17:41 +0000 2018	NA	NA	NA	vargas l es otro extremista hasta como habla vargas lleras se les nota el odio	
990640535005224962	Lina.	et_ernite	Sun Apr 29 17:14:43 +0000 2018	NA	NA	NA	elastronauta expectativa realidad delastreet ft vargas lleras	
990637655099572224	BORJA	donborji	Sun Apr 29 17:03:16 +0000 2018	NA	NA	NA	decirle el profe a mockus y petrosky a petro es lo que est llevando a los indecisos a votar por duque o vargas lleras	
990634295323709440	Andrés.	bluessatellite	Sun Apr 29 16:49:55 +0000 2018	NA	NA	NA	a vargas lleras damn s lo cre posible pero no a esta altura esperar a ver qu dice m s tarde	
990634100066308097	Alexander García	Aguardientosky	Sun Apr 29 16:49:09 +0000 2018	NA	NA	NA	hace rato que el viejo est en los rines gaviria ya debe le tener negociados esos votos liberales a vargas lleras	
990633743525335040	Jairo Pulgarín	jairopulgarin	Sun Apr 29 16:47:44 +0000 2018	NA	NA	NA	seg n la maquinaria de vargas lleras nunca despeg	
990632643946598402	Azul hasta la médula	cristianc13	Sun Apr 29 16:43:22 +0000 2018	NA	NA	NA	cucho usted es muy buena persona fajardo o petro si es vargas lleras hermano grave	
990631982047678465	Julián Andrés Avella	El_Fuli	Sun Apr 29 16:40:44 +0000 2018	NA	NA	NA	medaculilloque humberto de la calle decida unirse en este momento a vargas lleras atendiendo los deseos de su part	
990630942292283392	Erick Jiménez	maverickgohan	Sun Apr 29 16:36:36 +0000 2018	NA	NA	NA	falta vargas lleras y como est la situaci n en su campa a son capaces de encontrar a la mam del chavo para que d	
990629125659521024	Andru	MrBelt_	Sun Apr 29 16:29:23 +0000 2018	NA	NA	NA	ojal no sea que se retira para darle paso a los liberales para que se vayan con vargas lleras	
990629089060052993	Le Bonheur	_LeBonheur	Sun Apr 29 16:29:14 +0000 2018	NA	NA	NA	en cambio por ej en mi municipio pagaron perifon o anunciando a iv n duque ofrec an transporte garantizado ida v	
990628622347194368	Sandra Milena 5	samiso35	Sun Apr 29 16:27:23 +0000 2018	NA	NA	NA	vargas la verdad yo tampoco espero que lo hagan 4 a os de pele	
990625883437314048	Nicolás Amon	nicolasAmon	Sun Apr 29 16:16:30 +0000 2018	NA	NA	NA	humberto de la calle es tan de centro l que puede adherirse a vargaslleras duque o fajardo sin problema	
990618182619750400	Nataly Sánchez	Nathika_9302	Sun Apr 29 15:45:54 +0000 2018	NA	NA	NA	cu l es el concepto de ganar un debate jajaj que todos lo humillen hasta vargas lleras	
990615788112564224	carlos duque	_carlosduque	Sun Apr 29 15:36:23 +0000 2018	NA	NA	NA	sigo sin entender la campa a en las redes al fin qui n es el candidato de santos vargas lleras o petro o ambos	
990613736108019713	Daniel Navas Montoya	DanielNavasMont	Sun Apr 29 15:28:14 +0000 2018	NA	NA	NA	lara pero le va a servir rodrigo vargas lleras no llega a segunda por su torpeza de aliarse con la u se	
990609808947630081	Sandra Milena 5	samiso35	Sun Apr 29 15:12:37 +0000 2018	NA	NA	NA	lo de vargas lleras en la costa triste esa es la maquinaria esos voticos de petro ya	
990606678369456128	Diego Niño	diego_ninho	Sun Apr 29 15:00:11 +0000 2018	NA	NA	NA	vargas lleras empieza a reclutar uribistas para la segunda vuelta	
990606090307072002	Milton V	ChiltinV	Sun Apr 29 14:57:51 +0000 2018	NA	NA	NA	si yo creo que est n invertidos los porcentajes para que est n tranquilos yo l	
990604115691520001	LA FM	lafm	Sun Apr 29 14:50:00 +0000 2018	NA	NA	NA	vargas lleras y su j bilo al conocer de la investigaci n a las firmas encuestadoras mepasoalafm	
990604113871241216	Juan C. Barrera.	barrerajcarlos	Sun Apr 29 14:49:59 +0000 2018	NA	NA	NA	lara los coste os no estan felices si no los roban vargas lleras es el candidato del o o elias y mussa besaile	
990603122358870016	Andrés Trece	AndrsTrece	Sun Apr 29 14:46:03 +0000 2018	NA	NA	NA	parecidos razonables cuando crees que vargas lleras seguir apoyando tu corrupci n radical cuando te dicen que el	
990600444836802560	Rafael Becerra	rafanet13	Sun Apr 29 14:35:25 +0000 2018	NA	NA	NA	mientras que petro le llega a la gente en la plaza p blica duque y vargaslleras lo hacen por radio y televisi n lo que hace el dinero	
